YEAR,NAME,VARIABLE,VALUE
2017,Franklin,NETMIG,11870.0
2018,Franklin,NETMIG,3659.0
2019,Franklin,NETMIG,628.0
2020,Franklin,NETMIG,-4696.0
2021,Franklin,NETMIG,-12409.0
2022,Franklin,NETMIG,-184.0
2023,Franklin,NETMIG,-2527.0
2010,Hocking,NETMIG,272.0
2011,Hocking,NETMIG,-14.0
2012,Hocking,NETMIG,-174.0
2013,Hocking,NETMIG,-678.0
2014,Hocking,NETMIG,85.0
2015,Hocking,NETMIG,-266.0
2016,Hocking,NETMIG,-140.0
2017,Hocking,NETMIG,81.0
2018,Hocking,NETMIG,-57.0
2019,Hocking,NETMIG,-49.0
2020,Hocking,NETMIG,-68.0
2021,Hocking,NETMIG,212.0
2022,Hocking,NETMIG,-116.0
2023,Hocking,NETMIG,-153.0
2010,Knox,NETMIG,372.0
2011,Knox,NETMIG,133.0
2012,Knox,NETMIG,-634.0
2013,Knox,NETMIG,-18.0
2014,Knox,NETMIG,30.0
2015,Knox,NETMIG,-140.0
2016,Knox,NETMIG,-213.0
2017,Knox,NETMIG,306.0
2018,Knox,NETMIG,485.0
2019,Knox,NETMIG,314.0
2020,Knox,NETMIG,196.0
2021,Knox,NETMIG,-200.0
2022,Knox,NETMIG,684.0
2023,Knox,NETMIG,86.0
2010,Licking,NETMIG,408.0
2011,Licking,NETMIG,-33.0
2012,Licking,NETMIG,6.0
2013,Licking,NETMIG,454.0
2014,Licking,NETMIG,529.0
2015,Licking,NETMIG,894.0
2016,Licking,NETMIG,1011.0
2017,Licking,NETMIG,1274.0
2018,Licking,NETMIG,1736.0
2019,Licking,NETMIG,943.0
2020,Licking,NETMIG,828.0
2021,Licking,NETMIG,1341.0
2022,Licking,NETMIG,2002.0
2023,Licking,NETMIG,1433.0
2010,Logan,NETMIG,-320.0
2011,Logan,NETMIG,-256.0
2012,Logan,NETMIG,-297.0
2013,Logan,NETMIG,-100.0
2014,Logan,NETMIG,12.0
2015,Logan,NETMIG,-238.0
2016,Logan,NETMIG,-168.0
2017,Logan,NETMIG,88.0
2018,Logan,NETMIG,53.0
2019,Logan,NETMIG,292.0
2020,Logan,NETMIG,-256.0
2021,Logan,NETMIG,88.0
2022,Logan,NETMIG,26.0
2023,Logan,NETMIG,10.0
2010,Madison,NETMIG,120.0
2011,Madison,NETMIG,-375.0
2012,Madison,NETMIG,-180.0
2013,Madison,NETMIG,297.0
2014,Madison,NETMIG,657.0
2015,Madison,NETMIG,142.0
2016,Madison,NETMIG,-749.0
2017,Madison,NETMIG,672.0
2018,Madison,NETMIG,330.0
2019,Madison,NETMIG,295.0
2020,Madison,NETMIG,-12.0
2021,Madison,NETMIG,673.0
2022,Madison,NETMIG,-823.0
2023,Madison,NETMIG,1038.0
2010,Marion,NETMIG,-184.0
2011,Marion,NETMIG,-43.0
2012,Marion,NETMIG,-402.0
2013,Marion,NETMIG,-380.0
2014,Marion,NETMIG,-235.0
2015,Marion,NETMIG,-329.0
2016,Marion,NETMIG,43.0
2017,Marion,NETMIG,-335.0
2018,Marion,NETMIG,349.0
2019,Marion,NETMIG,-336.0
2020,Marion,NETMIG,180.0
2021,Marion,NETMIG,69.0
2022,Marion,NETMIG,-482.0
2023,Marion,NETMIG,359.0
2010,Morrow,NETMIG,-132.0
2011,Morrow,NETMIG,-38.0
2012,Morrow,NETMIG,-86.0
2013,Morrow,NETMIG,-64.0
2014,Morrow,NETMIG,18.0
2015,Morrow,NETMIG,-31.0
2016,Morrow,NETMIG,-61.0
2017,Morrow,NETMIG,-39.0
2018,Morrow,NETMIG,138.0
2019,Morrow,NETMIG,151.0
2020,Morrow,NETMIG,48.0
2021,Morrow,NETMIG,241.0
2022,Morrow,NETMIG,187.0
2023,Morrow,NETMIG,280.0
2010,Perry,NETMIG,-12.0
2011,Perry,NETMIG,60.0
2012,Perry,NETMIG,-297.0
2013,Perry,NETMIG,-101.0
2014,Perry,NETMIG,-133.0
2015,Perry,NETMIG,-21.0
2016,Perry,NETMIG,-63.0
