YEAR,NAME,BIRTHS,DEATHS,NETMIG,POPEST,NATINC,NPOPCHG,RBIRTHS,RDEATHS,RNETMIG,RNATINC,RPOPCHG
2019,Perry,416,394,46,36134,22,68,11.512702717662036,10.903857862401063,1.273039242818398,0.608844855260973,1.8818840980793712
2020,Perry,416,446,88,35446,-30,58,11.736162049314451,12.582519889409243,2.482649664278057,-0.8463578400947921,1.6362918241832647
2021,Perry,375,491,74,35464,-116,-42,10.5741033160388,13.845025941800136,2.0866230543649897,-3.2709226257613357,-1.1842995713963456
2022,Perry,381,436,127,35471,-55,72,10.741168842152746,12.291731273434637,3.5803896140509153,-1.5505624312818924,2.0298271827690226
2023,Perry,413,443,133,35551,-30,103,11.617113442659841,12.460971561981378,3.7411043289921517,-0.843858119321538,2.8972462096706137
2010,Pickaway,632,500,-76,55740,132,56,11.338356655902404,8.970218873340508,-1.3634732687477573,2.3681377825618943,1.004664513814137
2011,Pickaway,553,490,118,55948,63,181,9.884178165439337,8.758132551655109,2.1091013083577606,1.1260456137842283,3.235146922141989
2012,Pickaway,627,531,212,56237,96,308,11.149243380692427,9.442182193217988,3.769760122339385,1.7070611874744386,5.476821309813824
2013,Pickaway,593,503,58,56355,90,148,10.522580072753083,8.925561174696123,1.0291899565255966,1.5970188980569604,2.6262088545825573
2014,Pickaway,616,504,232,56704,112,344,10.863431151241535,8.888261851015802,4.091422121896162,1.9751693002257336,6.066591422121896
2015,Pickaway,629,562,155,56989,67,222,11.037217708680624,9.8615522293776,2.719823123760726,1.1756654793030235,3.8954886030637494
2016,Pickaway,604,603,539,57545,1,540,10.496133460769832,10.478755756364585,9.366582674428708,0.017377704405248065,9.383960378833956
2017,Pickaway,580,666,254,57740,-86,168,10.045029442327676,11.534464842396952,4.399030135088327,-1.489435400069276,2.9095947350190507
2018,Pickaway,637,615,347,58077,22,369,10.968197393116036,10.589389947827884,5.974826523408579,0.37880744528815197,6.35363396869673
2019,Pickaway,587,643,366,58457,-56,310,10.041569016542073,10.999538122038421,6.2610123680654155,-0.9579691054963477,5.3030432625690676
2020,Pickaway,633,719,484,58656,-86,398,10.791734860883798,12.257910529187125,8.251500272776868,-1.466175668303328,6.785324604473541
2021,Pickaway,622,767,200,58765,-145,55,10.584531608950906,13.051986726793158,3.4033863694375905,-2.467455117842253,0.9359312515953373
2022,Pickaway,631,713,1340,60007,-82,1258,10.515439865349043,11.881947106170948,22.330728081723798,-1.3665072408219041,20.964220840901895
2023,Pickaway,629,629,1155,61086,0,1155,10.296958386537014,10.296958386537014,18.907769374324722,0.0,18.907769374324722
2010,Ross,799,810,80,78098,-11,69,10.230735742272529,10.371584419575406,1.0243540167481882,-0.14084867730287587,0.8835053394453123
2011,Ross,861,805,-459,77581,56,-403,11.09807813768835,10.376251917350897,-5.916397055980201,0.7218262203374537,-5.194570835642748
2012,Ross,829,851,-334,77341,-22,-356,10.718764950026507,11.003219508410805,-4.3185373863797984,-0.2844545583842981,-4.6029919447640975
2013,Ross,827,762,-34,77283,65,31,10.700930346906823,9.859865688443772,-0.4399415136575961,0.8410646584630513,0.40112314480545525
2014,Ross,898,812,-333,77095,86,-247,11.64796679421493,10.532459952007263,-4.3193462611064275,1.115506842207666,-3.2038394188987613
2015,Ross,847,870,12,77049,-23,-11,10.993004451712546,11.291515788653973,0.15574504536074446,-0.29851133694142684,-0.1427662915806824
2016,Ross,834,889,-141,76848,-55,-196,10.8525921299188,11.568290651676035,-1.834790755777639,-0.715698521757235,-2.550489277534874
2017,Ross,862,811,387,77295,51,438,11.15207969467624,10.492269875153632,5.00679215990685,0.6598098195226082,5.666601979429458
2018,Ross,849,905,-411,76884,-56,-467,11.042609645700015,11.770979657666095,-5.345715623536757,-0.7283700119660788,-6.074085635502835
2019,Ross,786,929,-211,76666,-143,-354,10.252263063157072,12.117496673884121,-2.752197845198654,-1.86523361072705,-4.617431455925704
2020,Ross,745,1095,24,77049,-350,-326,9.669171566146218,14.21173538916793,0.3114900907214889,-4.542563823021713,-4.231073732300224
